en_sentence	de_sentence	fr_sentence	multi	binary
I'll save you!	Gut, ich rette sie.	Je vais vous libérer.	2	1
Let's use our fists	Können wir uns nicht mal so schlagen?	Battons-nous à mains nues.	8,2,4	1
Still a lot of soldiers around Better get inside	Es sind noch viele Soldaten in der Nähe. Gehen wir rein.	Qu'allons-nous faire ? On verra ça plus tard.  Rentrons.	2,4	1
Wait!	Augenblick, Ju Tsi.	Je vais te tuer.	6	0
She's turning into a corpse monster!	Verflucht! Sie wird schon ein Geist!	Elle commence à se transformer.	4	0
No matter how many you kill here you still won't save the kingdom	Selbst, wenn viele sterben müssen, hilft es nichts.	Tuer n'apporte rien.	1,3,6	0
Please guide us	Wenn Sie der Herr Chu sind, geben sie uns einen Rat.	Je fais confiance à votre sagesse.	2	1
Put your swords down!	Fu Da Yen! Legt eure Schwerter nieder!	Déposez vos armes.	1	0
More!	Noch einmal!	Je continue.	1	0
If he speaks on your behalf justice will triumph	Er hat großen Einfluss.	S'il plaide votre cause, vous serez sauvé.	8,2	1
Father, he might betray you!	Vater, kann er dich wirklich nicht verraten?	Père, il va vous dénoncer.	1,4	0
I am here to pay my respects to the high priest	Ich erlaube mir, Ihnen einen Besuch abzustatten.	Je vous présente mes respects.	8	1
Lord Fu is not a traitor	Fu Da Yen ist kein Verräter. Er ist ehrlich und gerecht.	Le seigneur Fu n'est pas un traître.	1,8	0
I hope that you will uphold justice	Heute wird Recht so oft mit dem Unrecht vertauscht.	Je prie Votre Grâce de lui rendre justice.	8,2	1
The purpose of my journey is to pacify the people	Es ist auch mein Ziel, für die Rechte des Volkes einzutreten.	Je suis là pour écouter le peuple et apaiser ses plaintes.	5	1
Mistakes can always be corrected	Aber jeder Fehler, der gemacht wird, kann korrigiert werden.	Dans l'océan du péché, celui qui se repent sera sauvé.	5	1
The bastard Hu betrayed us	Dieses Schwein! Dieser Hu Da Yen hat uns verraten!	Hu nous a trahis.	1,3,4	0
We'll never meat again	Wir werden uns niemals wiedersehen.	Je ne la reverrai plus.	6	0
Too much so	Sehr ähnlich.	- Oui.	6	0
Your meal will be served presently	Bitte, machen Sie es sich doch bequem.	Les plats vont suivre.	2	1
I still haven't recovered No energy to jump	Klettere auf den Baum und versteck dich! Ich bin völlig erschöpft.	Je suis trop faible pour te prendre avec moi.	6	0
We'll never be parted again	Wir werden uns nie mehr trennen.	Ainsi tu ne me quitteras plus.	8,6	1
If we could be like this forever it would be great	Lass es immer so schön sein!	J'aimerais toujours rester ainsi.	6	0
I'm going to destroy all of you evil monks	Stellt euch! Verfluchter Dämon!  Ich werde euch erledigen!	Usurpateur, je vais mettre un terme à tes méfaits.	1	0
There are demons in the court so I must get involved in affairs of state	Dann muss ich mich wohl auch noch um die Staatsgeschäfte kümmern?	Traître ! - Cette fois, je dois m'en mêler.	2	1
I'm headed for hell anyway	Es ist zu spät! Ich muss sowieso zur Hölle gehen!	Si je ne vais pas en enfer, qui ira à ma place ?	3	0
Evil spirits pervade this road	Zur Zeit ist hier alles vom Geist beherrscht.	Le démon est proche.	4	0
The masses love to worship their idols	Von den Massen werde ich als Idol vergöttert.	Les ignorants aiment vénérer des idoles.	1	0
Get ready.	Stellung einnehmen!	En position.	2	1
Sure, sure.	Gut.	Parfait.	5,8	1
You look beautiful.	Sie sehen wunderbar aus.	Tu es très belle.	5,8	1
I can't believe it.	Unfassbar. Die waren das!	Ce sont eux !	7	None
- I'm sorry.	Es tut mir leid.	- Je suis désolée.	6	0
Yes, of course.	Natürlich nicht...	Allons-y... plus les journées.	8	1
- Who?	Wen?	Al Reilly, Monsieur.	7	None
I don't like this.	Gefällt mir nicht.	Je n'aime pas ça.	3	0
You're real dumb, huh?	Du bist wirklich blöd.	T'es vraiment con, hein ?	1	0
Are you guys nuts?	Seid ihr verrückt?	Eteignez, merde ! Vous êtes cons, ou quoi ?	1	0
What are you shits after, apart from trouble?	Saubande, was sucht ihr hier? Ärger?	Petits cons. Qu'est-ce que vous cherchez ?  À part des emmerdes ?	1,2,3	0
Quiet!	Ruhe!	Silence !	1	0
I know what these jerks are like.	Lass nur, lass nur. Ich kenne diese Sorte.	Laisse faire. Je les connais, ces oiseaux-là.	1,3,8	0
It's all for show.	Sie spielen Theater.	C'est du cinoche.	3	0
Concentrate.	Gib dir Mühe, Kleine.	Applique-toi, ma fille.	2	1
Motherfuckers!	Ihr Wichser!	Enculés !	1	0
I don't wanna go like this.	Ich will nicht sterben, nicht so.	Je veux pas partir comme ça.	6	0
Mister, is this Heaven here or not?	Ist das hier das Paradies?	Monsieur, on est au paradis là, ou quoi ?	4	0
To serve your country.	Um dem Staat zu dienen.	Pour servir l'État.	2,8	1
Tell them to open the door!	Sag ihnen, sie sollen aufmachen.	Dis-leur d'ouvrir la porte !	1	0
That'll clip your wings.	Damit du nicht abhaust.	Ça te coupera l'envie de t'envoler.	6	0
We'll start with an easy program.	Für den Anfang ein einfaches Programm.	Au départ, je vais te faire un petit programme facile.	2,8	1
If you press here, you can make drawings.	Damit können Sie Formen und Zeichnungen machen.	Si vous appuyez ici, vous pouvez faire des formes, des dessins.	2	1
These are the firearms we use.	Die Waffen, die wir im Dienst benutzen.	Voilà les armes qu'on utilise en service.	4	0
Sit down there.	Setzen Sie sich.	Asseyez-vous là.	8	1
But if we work hard together and if fortune smiles on us, we'll be able to make you into a human being.	Aber wenn wir gemeinsam arbeiten und der Himmel uns gnädig ist, können wir einen Menschen aus Ihnen machen.	Mais si nos efforts sont répétés et mutuels, et si le ciel nous est clément, nous finirons sûrement par vous donner forme humaine.	3	0
I wish it had gone.	- Mir tun die Füße weh.	J'ai mal aux pieds.	6	0
Made friends?	Seid ihr befreundet?	Vous vous êtes fait des amies ?	5	1
I'm going to be 20 next week.	Nächste Woche werde ich 20 Jahre alt.	La semaine prochaine, je vais avoir 20 ans.	2	1
I've a great program to try out.	Ich habe hier ein höllisches Programm.	J'ai un programme d'enfer. On va se le faire.	5	1
Happy birthday.	Gratuliere zum Geburtstag.	Bon anniversaire.	5	1
I can't do any more after that.	Dann kann ich nichts mehr für dich tun.	Après, je pourrai plus rien faire pour toi.	6,7	0
Are you looking at my hands?	Schaust du dir meine Hände an?	Ce sont mes mains que tu regardes ?	1	0
They were beautiful once.	Sie waren mal schön.	Elles étaient belles, tu sais.	5	1
And don't forget, there are two things that have no limit:	Und vergiss nicht, es gibt zwei Dinge, die keine Grenzen haben:	Et n'oublie pas. Il y a deux choses qui sont sans limite.	2	1
Shall I go?	Soll ich gehen?	J'y vais ?	1,6	0
The usual, sir?	Wie immer, Monsieur Georges?	Comme d'habitude, M. Georges ?	5,8	1
Watch this.	Pass auf...	Alors, attention.	2	1
It's loaded.	Sie ist geladen.	Il est chargé.	2	1
There's trouble down here.	Ich habe ein kleines Problem.	J'ai un problème, là au contrôle.	4	0
Open the door, asshole!	Mach auf, Arschloch!	Ouvre la porte, connard !	1	0
I'll miss you.	Du wirst mir fehlen.	- Vous me manquerez.	6	0
Don't sit down.	Bleiben Sie stehen.	Restez debout.	1	0
You're paid at the bank opposite the hospital.	Du kriegst eine monatliche Überweisung auf die Bank.	Ta banque est en face de l'hôpital, tu recevras un virement mensuel.	2	1
Perfect.	Perfekt.	Parfait.	5,8	1
It'll get cold.	- Dann wird's kalt.	Ça va être froid.	4	0
I put the kettle on.	- Ich hab das Wasser aufgesetzt.	J'ai mis l'eau à chauffer.	2	1
Your Highness slept well?	Hast du gut geschlafen, Prinzessin?	La princesse a-t-elle bien dormi ?	2,5,8	1
I'll invite Léon to dinner Saturday.	Am Samstag lade ich Léon zum Essen ein.	Dis-moi, samedi je vais inviter Léon pour dîner.	5	1
Room service, good morning.	Zimmerservice, guten Tag.	Room service, bonjour.	5	1
Bob speaking.	Hier ist Bob.	C'est Bob.	2	1
I'm just fine.	- Gut... Sehr gut.	Bien. Très bien.	5	1
I wanted to congratulate you.	Herzlichen Glückwunsch.	Je voulais vous féliciter.	2,8	1
I'd be delighted.	Ich komme sehr gerne.	Ce serait avec plaisir.	2,5	1
Uncle Bob?	Onkel Bob.	Oncle Bob.	7	None
One last compliment, okay?	Noch ein kleines zum Schluss.	Alors un petit dernier, et puis on arrête.	2	1
I'm sure that's thanks to you as well.	Ich finde, sie sieht blendend aus.	Je trouve qu'elle est radieuse. C'est sûrement grâce à vous.	5	1
At 8, she was so pretty.	Sie war mit acht sehr schön.	Elle était très belle, à 8 ans.	5,7	1
She wore a ribbon, and always had white dresses.	Sie hatte ein Band in den Haaren. Sie trug immer weiße Kleider.	Elle avait un ruban dans les cheveux, elle portait toujours des robes blanches.	8	1
I only saw her when the family rented a farm in the summer.	Wir sahen uns nur im Sommer. Unsere Familie traf sich auf einem Bauernhof im Périgord.	Je ne la voyais que l'été, quand toute la famille louait une grande ferme dans le Périgord.	6	0
Between the cousins and neighbors, there were 20 kids, always causing trouble together.	Mit den Nachbarn zusammen waren es an die 20 Kinder. Alle hatten nur Blödsinn im Kopf.	Entre tous les petits cousins et voisins, il y avait une vingtaine d'enfants, toujours ensemble à faire les pires bêtises.	1	0
She'd come back, soaked to the skin, but always with the same excuse:	Dann kam sie zurück, von oben bis unten durchnässt, und immer dieselbe Entschuldigung:	Elle revenait trempée de la tête aux pieds, et nous sortait invariablement la même excuse.	1,8	0
Not the gondola, not the gondola.	Die Gondel, die Gondel...	Pas la gondole, pas la gondole.	4	0
Assembly completed.	- Zusammenbau beendet.	Montage terminé.	5	1
There's no fucking handle!	- Scheiße, kein Griff.	Y a pas de putain de poignée !	1	0
Can we talk?	- Kann ich mit dir reden?	Je peux te parler ?	4,6	0
I don't know what's up, what shit you've been through to put you in that state.	Ich weiß nicht, wer dich... welche Dummheiten du früher gemacht hast, dass sie dich so verfolgen...	Je sais pas ce que t'as fait comme connerie dans le passé qui te traumatise à ce point.	3,6	0
The worst would be a relief.	Und selbst das würde mich nicht umwerfen.	Eh bien le pire, ça me soulagerait, Marie.	1,6	0
Target visible in 10 seconds.	Das Ziel wird in 10 Sekunden sichtbar sein.	O.K. Le contact sera visible dans 10 secondes.	2,4	1
I haven't the data yet.	- Ich hab noch keine Informationen.	Y en a plusieurs. Je n'ai pas encore l'information.	6	0
I'm happy to see you.	Ich freue mich, dich zu sehen.	Je suis content de te voir.	5	1
I thought of you.	Ich dachte an dich.	J'ai pensé à toi.	5,8	1
It's to show I love you.	Das ist meine Art zu lieben.	C'est ma façon d'aimer.	5,8	1
What a welcome!	Welch ein Empfang!	C'est pas terrible comme accueil.	5,7	1
-Champagne!	- Warum nicht?	- J'vais me gêner. Ça s'arrose.	5	1
-It's taken care of.	- So was feiert man.	C'est prévu.	5,8	1
He's seeing his mistress there.	Er ist in Nummer neun bei einer seiner Mätressen.	Il vient d'entrer chez sa maîtresse.	8	1
We're not interested in him.	Wir sind nicht an ihm interessiert.	En fait, c'est pas lui qui nous intéresse.	3	0
So we know where to look.	Ja, und die Schlüssel sind in seiner Tasche. Dann holen wir sie.	On n'aura pas à les chercher.	2	1
Shit, you scared me!	Mensch, hast du mich erschreckt!	Oh putain, t'es con. Tu m'as fait peur.	4,7	0
How do you smell so good in a hospital?	Wie schaffst du es, in einer Klinik zu arbeiten und so gut zu riechen?	Comment tu fais pour travailler à l'hôpital et sentir aussi bon ?	5,7	1
That's my secret.	Ein Frauengeheimnis.	Secret de femme.	2	1
Marie-Hélène, how do you do?	Marie-Hélène, sehr erfreut.	Marie-Hélène. Enchantée.	7	None
A guy who was a pain in the neck even before I carried his stuff.	Ein Künstler, der mich schon genervt hat, bevor ich seine Bilder schleppen musste.	Un artiste qui me fatiguait avant même de porter ses toiles.	1	0
They changed it.	- Wir kennen ihn. - Er wurde geändert.	Je sais, mais on a le code. Il l'a changé.	1,6	0
Fuck your goddamn cleaner!	Zum Teufel mit deinem Cleaner!	Je m'en fous de ton nettoyeur de merde !	1	0
Victor, we've got to talk first.	SÄURE Victor, wir müssen erst mal reden.	Victor, il faut qu'on parle, d'abord.	2	1
Cleaning up your shit.	- Was willst du machen? - Eure Scheiße wegputzen.	Nettoyer vos conneries.	1,3	0
Fuck, he's not dead!	Ihr habt ihn nicht getötet?	Vous l'avez même pas buté !	7	None
See you in an hour.	In einer Stunde also.	Bon ben, dans une heure.	2	1
I can't take any more of this.	Bitte, Victor!	J'en peux plus.	3,4	0
Please, let's go!	Ich kann nicht mehr, Victor! Bitte, lass uns gehen.	On s'en va.	4	0
What's happening, sir?	Monsieur, was ist denn los?	Monsieur, qu'est-ce qui se passe ?	4	0
-A quick drive and we'll call back.	Eine Spazierfahrt, dann kommen wir wieder.	On fait un tour, on revient plus tard.	2	1
The job's too tough for you.	Das ist kein Beruf für dich.	C'est pas un métier pour toi. C'est trop dur.	3	0
They mustn't get old.	Sie dürfen nicht alt werden.	Il faut pas qu'elles vieillissent.	6	0
I know everything, Marie.	Ich weiß alles, Marie.	Je sais tout, Marie.	1,3	0
There never has been a Marie Clément at your hospital.	Es gibt keine Marie Clément im Krankenhaus, hat es nie gegeben.	D'ailleurs, y a pas de Marie Clément à la Salpêtrière. Et y en a jamais eu.	1,2	0
I also know about the stakeouts, the tailings, the video cassettes.	Ich kenne auch... die Verstecke... die Überwachungen... die Videokassetten.	Et puis, je sais aussi... les planques, les filatures, les cassettes vidéo.	4,7	0
Because I love only you.	Weil ich nur dich liebe, Marie.	Parce que je n'aime que toi.	5	1
My little Marco.	Mein Marco.	Mon Marco à moi.	8	1
You're the most beautiful person I ever met.	Du bist der liebste Mensch, den ich kenne.	Tu es la seule belle personne que j'aie rencontrée dans ma vie.	5	1
Don't you think she's paid her dues?	Finden Sie nicht... dass sie ihre Schuld bezahlt hat?	Vous trouvez pas que... qu'elle l'a payée, sa dette ?	6,8	0
I'll try, but she's in danger, Marco.	Das versuche ich, aber sie ist wirklich in Gefahr, Marco.	J'essaie, mais elle est vraiment en danger.	4	0
I miss the time when I had you to myself every day.	Ich denke oft an die Zeit, als ich dich für mich hatte.	Je suis assez nostalgique de l'époque où je t'avais pour moi tout seul.	6	0
Whiskey.	Was trinken Sie?	Whisky.	5	1
Stop it!	Schluss damit!	Tu m'as abandonné comme ça au coin de la rue et six ans après, tu entres dans mon bureau...	1	0
Excuse me, but we've got a flight that's just about to leave.	Verzeihung, Sir, aber unser Flugzeug startet jeden Augenblick.	Notre avion doit décoller d'une minute á l'autre.	4	0
Follow me, please.	Sie kommen mit mir.	Veuillez me suivre.	2	1
I don't want to miss this flight.	Ich habe keine Lust, diesen Flug zu verpassen.	Je n'ai pas envie de louper cet avion.	4	0
Did you think we don't know about your affair with a government official?	Dachten Sie, wir wissen nichts von der Affäre mit einem Regierungsbeamten?	Nous connaissons votre liaison avec un membre du gouvernement.	1,7	0
I tell you, our side will always win.	Ich sag Ihnen was, unsere Seite gewinnt immer.	C'est nous qui allons gagner.	5,8	1
You'd want your mommy too, if you had to say all this.	Du würdest auch deine Mutter brauchen, bei diesem Text.	Y'a de quoi appeler sa mère avec ces dialogues.	1	0
-You can say that again.	- Genau das habe ich vor.	- Tu peux me redire ça?	1	0
You know what I'm talking about and so does everybody on this set.	Du weißt genau, wovon ich rede. Jeder Einzelne am Set weiß Bescheid.	Tu sais de quoi je parle. Tout le monde le sait sur ce plateau.	8	1
Mrs. Winkle, this is your wake-up call.	Mrs. Winkle, das hier ist lhr Weckruf.	Mme Winkle, c'est le service du réveil.	2,4,6	0
I barely know her. I found her like this and I brought her here.	Ich habe... Ich habe sie zufällig so gefunden und hergebracht.	Je la connais á peine. Je l'ai trouvée comme ça et je l'ai amenée ici.	6	0
What'd she take?	Haben Sie 'ne Ahnung, was sie genommen hat?	Elle a pris quoi?	4,6	0
You can say that again.	Da hat sie Recht.	Elle s'y connaît.	8	1
You'll have them for a while.	Sie werden sie noch 'ne Weile haben.	Vous allez en faire encore.	5	1
I'm in rehab?	In der Rehabilitation?	Réadaptation?	4,6,7	0
Oh, well, sure.	Oh, ja, sicher.	Si, bien sür.	8	1
A man dropped you off unconscious.	Ein Mann hat Sie hingebracht. Sie waren bewusstlos.	Un homme vous a amenée. Vous étiez évanouie.	4	0
I'm here to admit you and, God willing, help you.	Ich bin hier, um Sie aufzunehmen und Ihnen hoffentlich zu helfen.	Je vais vous prendre en charge et si possible, vous aider.	2	1
I'd like to ask a few questions.	Wenn Sie nichts dagegen haben, mochte ich Ihnen ein paar Fragen stellen.	J'ai deux ou trois questions.	2	1
-l'm sorry if the question offends you.	- Es tut mir Leid.	- Désolée de vous choquer.	1	0
Good work, Carol.	Gute Arbeit, Carol.	Beau travail, Carol.	2,8	1
Weren't your parents coming tonight?	Wollten lhre Eltern Sie nicht heute besuchen?	Tes parents ne devaient pas venir?	2	1
We should all visit with our significant others for a few minutes.	Jeder hat jetzt ein bisschen Zeit für seinen Lebensbereicherer.	Nous allons discuter avec nos proches.	5,8	1
Hello, darling!	Hallo, Darling!	Salut, chérie!	5,8	1
-Hello, Allen.	- Hallo, Allen.	- Bonjour, Allen.	7	None
Sorry, boys.	Entschuldigt mich jetzt.	Désolée, mes anges.	6	0
I wonder what Allen does.	Was dieser Allen wohl beruflich tut?	Que peut bien faire Allen?	2	1
-She seems very unusual.	- Sie ist ziemlich ungewohnlich.	- Elle est originale.	3	0
I'm glad you're making new friends.	Ich bin froh, dass du neue Freundschaften schließt.	C'est bien de te faire de nouveaux amis.	2,5	1
-Instant gratification takes too long.	- Sogar sofortige dauert mir zu lange.	- Ça prend trop de temps.	3	0
I hate getting upset.	Ich hasse es, die Fassung zu verlieren.	Je déteste craquer.	1	0
You're just like Grandma, always judging me.	Genau wie deine Grandma. Immer verurteilst du mich.	Tu me juges, comme ta grand-mère.	1	0
I'll have some clothes brought by tomorrow and your tape cassette thing for your music and a quilt.	Ich lass dir morgen ein paar Kleider vorbeibringen und das Kassettending für deine Musik und eine Decke.	Je te ferai apporter des vêtements... et ton appareil á cassettes et une couette.	8	1
Sunday afternoon, Mary will bring your video machine and some tapes and a plant.	Am Sonntag kommt Mary mit deinem Videorekorder und ein paar Videokassetten vorbei, und mit einer Pflanze.	Marty t'apportera ton magnétoscope, des cassettes... et puis une plante.	2	1
They're from the guy who pumped my stomach.	Von dem Kerl, der mir den Magen ausgepumpt hat.	Le gars qui m'a fait mon lavage d'estomac.	1	0
You seem to me to be what my mother warned me about:	Sie scheinen mir das zu sein, wovor meine Mutter mich immer gewarnt hat:	Vous ëtes ce dont ma mère m'a appris á me méfier:	4,5	0
Except never take drugs and go to AA meetings for the rest of your life.	Nur zu den AS-Treffen gehen und nie wieder Drogen nehmen - das musst du.	Sauf de ne plus te droguer et d'aller aux Alcooliques Anonymes.	1,6	0
These are businessmen with no knowledge of creative personalities.	Aber das sind Geschäftsleute. Sie wissen nichts über kreative Personlichkeiten.	Le talent créatif, ça les dépasse.	3	0
And actresses are treated like I hate to use the word, but, shit.	Schauspielerinnen erst... - die werden behandelt wie - ich hasse es das Wort zu benutzen - wie Scheiße.	Et les actrices sont traitées... je déteste ce mot, comme de la merde.	1,3,4,6	0
She'll listen to you, you're not her mother.	Natürlich hort sie auf dich, weil du nicht ihre Mutter bist.	Oui, vous n'ëtes pas sa mère, vous.	5,8	1
What am I supposed to do?	Was erwarten die von mir?	Ils veulent que j'aille où?	1	0
-Stay with my mother?	- Ich soll bei meiner Mutter wohnen?	- Habiter avec ma mère?	1,3	0
-Go to your AA meetings-- -l want to do this film.	- Geh lieber zu deinen Anonymen Süch... - Aber ich will diesen Film machen.	- Va aux Alcooliques Anonymes. - Je veux bosser.	1,2	0
It was good therapy after my divorce and my miscarriages.	Das war gute Therapie nach meiner Scheidung und den Fehlgeburten.	Quelle thérapie après mon divorce et mes fausses couches!	8	1
I don't get your generation's humour.	Ich kann den Humor deiner Generation oft nicht verstehen.	L'humour de ta génération m'échappe.	3,6,7	0
Yeah, everything's great.	Ja, es geht mir großartig.	Oui, tout va bien.	5	1
The damn insurance company won't cover you without a screen.	Für die Versicherung. Die wollen Sie ohne den Test nicht versichern.	L'assurance ne veut pas vous couvrir sans dépistage.	1,3	0
You're just the cop I'm looking for.	Genau diesen Polizisten habe ich gesucht.	C'est vous, le flic que je cherchais.	5,8	1
Quiet, please!	Ruhe, bitte!	Silence!	1	0
I had a dream that it wasn't right.	Ich habe geträumt, dass es ein Fehler ist.	J'ai rêvé qu'il ne fallait pas le faire.	3,6	0
-l had a dream that I was drowning.	- Ich träumte, dass ich ertränke...	- Je coulais á pic, dans l'océan.	2,4,6	0
-A sequined gown dragging me down.	...in einem Kleid mit Silberspangen.	- Avec une robe á paillettes.	6	0
-What does that mean?	- Was soll das bedeuten?	- Ça veut dire quoi?	2,4	1
How did we end up talking about your death from my drug test?	Wie konnen wir von meinem Drogentest bei deinem Tod landen?	Comment en est-on arrivées là?	6	0
Mine was big as a grapefruit.	Ich hatte einen, so groß wie 'ne Grapefruit.	J'en avais une énorme.	5	1
I'm gonna kill myself.	Am besten bringe ich mich um.	Je vais me suicider.	6	0
Oh, no, Mom. I have to get up early.	Oh, nein, ich muss früh aufstehen.	Il faut que je me lève tôt demain.	3	0
I don't want to see them.	Ich will nicht all diese Leute sehen.	J'ai pas envie de les voir.	3	0
There are people here I haven't seen since high school nor would I want to.	Es gibt hier Leute, die ich seit der High School nicht mehr gesehen habe und die ich auch gar nicht sehen wollte.	Il y a des gens que je n'ai pas vus depuis le lycée. Et j'ai pas envie de les voir.	3	0
For chrissake, where did she come up with Louis Karasik?	Wo hat sie ausgerechnet den aufgetrieben?	Oú a-t-elle été dénicher un type comme lui?	1	0
Last time I saw him, he threw up scrambled eggs out of his nose on the way to the library.	Als ich ihn das letzte Mal sah, hat er Rührei aus der Nase gekotzt direkt vor der Bücherei.	La dernière fois que je l'ai vu, il gerbait... á la bibliothèque.	6	0
Ornery as a mule, just like Owen.	Stur wie 'n Maulesel. Genau wie Owen.	Elle tient de son grand-père.	1,7	0
Don't you want more cashews, Grandpa?	Willst du nicht mal 'n paar Nüsse, Grandpa?	Encore, des cacahuètes, pépé?	5	1
Get off my back. I want to go home.	Frau, ich will nach Hause.	Je veux rentrer chez moi.	4,6	0
-Yeah, well, we're going.	- Ja, gut, wir gehen schon.	- On y va.	1,7	0
I want to go home.	Ich will heim.	Je veux rentrer.	2	1
Soon, sir.	Natürlich, Sir.	Tout de suite.	2	1
Very, very soon.	Sehr, sehr bald.	On y va tout de suite.	2	1
Howdy's got worms.	Howdy hat Würmer.	Toby a des vers.	3,6	0
Sing something, Suzanne.	Sing was für uns, Suzanne.	Une chanson!	5	1
-l get so nervous.	- Ich werde doch so nervos.	- Ça me rend nerveuse.	5,8	1
You know, just have more fun with it, that's all.	Verstehen Sie, einfach mehr Spaß haben, das ist schon alles.	Ce serait bien que tu t'éclates davantage, c'est tout.	8	1
But you're holding something back.	Aber Sie halten irgendwas zurück.	Mais vous ne donnez pas votre max.	1,2	0
I guess I don't take criticism very well.	Wahrscheinlich vertrage ich Kritik nicht besonders.	J'accepte peut-ëtre mal les critiques.	6	0
We're talking about two minutes of film.	Wir reden doch bloß über zwei Minuten Film.	On parle de deux minutes de film.	2	1
I'm so relieved.	Was für eine Erleichterung.	Ça va beaucoup mieux.	5	1
-l'm feeling much more relaxed now.	- Ich fühl mich schon viel geloster.	- Je me sens bien plus á l'aise.	2,5	1
What are we going to do about the bed scene?	Was machen wir mit der Bettszene?	Qu'est-ce qu'on va faire pour la scène du lit?	2	1
How very unpleasant.	Äußerst unerfreulich.	Quelle vision d'horreur!	6	0
Valerie has a terrific body.	Valerie hat einen fantastischen Korper.	Valerie a un corps sublime.	2,5,7	1
Oh, well.	Nicht zu ändern.	Enfin...	6	0
That's the character!	Das ist sie! Das ist die Figur!	C'est le personnage!	5,7	1
-People, this'll be picture!	- Ok, Leute, wir wollen gleich drehen.	- En place, c'est la bonne.	2	1
Help me!	Hilfe!	A l'aide !	4	0
It's terrible what happened to him.	Es ist furchtbar, was ihm passiert ist. Es ist...	Quelle affreuse histoire.	6	0
He thinks it's a wonderful evening and then she takes a handful of pills and overdoses.	Sie verbringen einen wundervollen Abend und dann nimmt sie eine Handvoll Tabletten, eine Überdosis.	II passe une soirée formidable... et elle avale un tube de pilules et fait une overdose.	1,6	0
I'm glad to see you're all right.	Ich bin froh, dass es dir wieder gut geht.	Je suis content de te voir en forme.	5	1
Well, I suppose I should thank you.	Wahnsinn. Ich glaube, ich sollte dir danken.	Je suppose que je devrais te remercier.	6,8	0
I'm not a complete stranger.	Ich bin kein vollig Fremder mehr.	Je ne suis pas un parfait inconnu.	8	1
Did anybody ever tell you that you smell like Catalina?	Hat dir schon mal jemand gesagt, dass du wie Catalina riechst?	On t'a déjá dit que ta peau a une odeur d'île déserte?	2	1
Did anybody ever tell you that you smell like the future?	Hat dir schon mal jemand gesagt, dass du wie die Zukunft riechst?	On t'a déjá dit que tu as un parfum d'avenir á deux?	5	1
Have you known Suzanne long?	Kennen Sie Suzanne schon lange?	Vous connaissez bien Suzanne?	2	1
-Right.	- Richtig.	- C'est ça, oui.	1	0
Stop, please.	Hor auf, bitte.	Arrëte, s'il te plaît.	4	0
-Can't do what?	- Was kannst du nicht?	- Tu peux pas quoi?	1	0
I don't have casual affairs.	Ich habe keine flüchtigen Affären.	Je ne veux pas avoir de petites aventures.	6,7	0
More than two?	Mehr als zwei?	Plus de deux?	7	None
I'm not going to make fun of you.	Ich werde mich nicht über dich lustig machen.	Je vais pas me moquer de toi.	8	1
-This is hard enough.	- Bitte nicht, es ist schwierig genug.	- C'est déjá assez dur comme ça.	4,6	0
I thought I'd lost the ability.	Ich dachte, ich hätte die Fähigkeit verloren.	Je croyais que j'en étais devenu incapable.	5,7	1
You're doing pretty well.	War nicht schlecht für den Anfang.	Tu te débrouilles pas mal.	8	1
Brave?	Mutig?	Courageux?	4	0
Right, because it's a long shot.	Nun ja, es ist eben ein Wunschtraum.	Je vois.	6	0
Stay with me.	Bleib bei mir.	Reste avec moi.	6	0
I'm worth the risk, you'll see.	Ich bin es wert, das wirst du sehen.	J'en vaux la peine.	2,5	1
I don't want to see anyone or smell anyone but you.	Du bist der einzige Mensch, den ich brauche, den ich spüren will.	Je ne veux voir que toi, ne respirer que toi.	5,8	1
-You'll never be sorry.	- Du wirst es nie bereuen.	- Tu ne le regretteras pas.	1,6	0
You sound like a rug salesman.	Du klingst wie ein Gebrauchtwagenhändler.	On dirait un marchand de tapis.	3,5,8	1
I didn't call because I thought you might be asleep.	Ich rief dich nicht an, weil ich dachte, dass du schon tief schläfst.	J'ai pas appelé pour ne pas te réveiller.	8	1
I came home because I didn't want to worry you.	Und ich bin nach Hause gekommen, weil ich dich nicht beunruhigen wollte.	Je suis rentrée pour ne pas que tu t'en fasses.	5,8	1
You did worry me.	Aber du hast mich beunruhigt.	Je m'en suis fait.	4,6	0
I'm supposed to be taking care of you.	Ich habe mich verpflichtet, mich um dich zu kümmern.	Je dois veiller sur toi.	1,6,8	0
What was I supposed to think when you didn't come home?	Mit dieser Verantwortung, was hätte ich mir denken sollen?	Que penser en ne te voyant pas rentrer?	1,4	0
Even if it could be your involvement with drugs has vindicated me.	Selbst wenn man es konnte dann rechtfertigen deine Erfahrung mit Drogen immer noch meine Bedenken.	Si c'était comparable... je dirais que ta toxicomanie m'a fait déprimer.	1,3	0
I hardly think you're in a position to judge me.	Ich glaube kaum, dass du dir ein Urteil über mich erlauben kannst.	Je te trouve mal placée pour me juger.	1	0
Only to be met by this fresh and superior attitude of yours.	Und das alles, damit du mir auf diese freche und überhebliche Art begegnest.	Et j'avais droit á ta froideur et á tes grands airs supérieurs.	1,3	0
Why did you turn away from me?	Wieso hast du dich von mir abgewendet?	Pourquoi t'es-tu détournée de moi?	1,4,8	0
I just want you to like me.	Ich mochte, dass du mich gern hast.	J'ai envie que tu m'aimes bien.	2	1
